NO,Paper Title,Year,Venue,Keywords,Objective,Methodology,Results,
11,Multifingered Object Recognition with Tactile Sensors and Graph Convolutional Networks using Topological Graph Segmentation,2025,IEEE/SICE SII,"GCNs, uSkin, object recognition, topological segmentation",เพิ่มประสิทธิภาพการจำแนกวัตถุของมือหุ่นยนต์ที่มีหลายนิ้ว,ใช้ Graph Convolutional Networks (GCN) ร่วมกับการแบ่งกลุ่มข้อมูลตามสรีระ (Topological Segmentation) ของนิ้วและฝ่ามือ,บรรลุความแม่นยำ 92.92% และลดภาระการประมวลผลของ GPU ลงได้อย่างมากเมื่อเทียบกับ GCN ปกติ,
12,Object Recognition for Humanoid Robots Using Full Hand Tactile Sensor,2023,IEEE Access,"robot hand, tactile recognition, InceptionNetV3",ให้หุ่นยนต์ฮิวแมนนอยด์รับรู้รูปร่างวัตถุผ่านการสัมผัสทั้งมือ,"พัฒนา ""ผิวหนังอิเล็กทรอนิกส์"" รอบมือหุ่นยนต์ และใช้ Deep Learning วิเคราะห์แผนที่การสัมผัส (Tactile Mapping)",หุ่นยนต์สามารถระบุชนิดวัตถุได้แม่นยำแม้ขณะเคลื่อนที่ ช่วยให้การหยิบจับในสภาพแวดล้อมจริงทำได้ดีขึ้น,
13,Object Recognition Using Glove Tactile Sensor,2022,IEECON,"tactile object recognition, glove tactile sensor, CNN",เปรียบเทียบประสิทธิภาพอัลกอริทึม AI ในการจำแนกวัตถุ,เก็บข้อมูลแรงกดจากถุงมือเซนเซอร์ แล้วเปรียบเทียบเทคนิค Bag of Words (BoW) กับ CNN,CNN ให้ความแม่นยำ 97.20% ซึ่งสูงกว่า BoW (70.80%) อย่างมีนัยสำคัญ สรุปได้ว่า CNN เหมาะกับงาน Tactile มากกว่า,
14,MiniTac: An Ultra-Compact Vision-Based Tactile Sensor for Enhanced Palpation in Robot-Assisted Minimally Invasive Surgery,2024,IEEE RA-L,"RAMIS, miniature tactile sensor, tumor detection",ตรวจจับเนื้องอกในการผ่าตัดหุ่นยนต์ผ่านเซนเซอร์ขนาดจิ๋ว,ใช้ Photonic Elastomer ที่เปลี่ยนสีตามแรงกด และใช้กล้องขนาด 8 มม. ถ่ายภาพการเปลี่ยนสีเพื่อวิเคราะห์ความแข็งเนื้อเยื่อ,สามารถตรวจพบเนื้องอกที่ฝังลึกใต้ผิวเนื้อเยื่อ 8-10 มม. ได้อย่างแม่นยำ และมีขนาดเล็กพอที่จะเข้าสู่ร่างกายมนุษย์ได้,
15,"Tactile Sensors for Minimally Invasive Surgery: A Review of the State-of-the-Art, Applications, and Perspectives",2020,IEEE Access,"MIS, RMIS, tactile sensors, piezoelectric, optical sensors",รวบรวมและวิเคราะห์เทคโนโลยีเซนเซอร์สัมผัสสำหรับการผ่าตัดผ่านกล้อง,"การทบทวนวรรณกรรม (Literature Review) อย่างเป็นระบบในด้านวัสดุ, หลักการวัดแรง และการนำไปใช้","ระบุแนวโน้มว่าเซนเซอร์ในอนาคตต้องเน้นความยืดหยุ่น (Softness), การฆ่าเชื้อได้ และการบูรณาการเข้ากับหุ่นยนต์ Da Vinci",
16,Tactile Sensor-Based Estimation of Grasp Force and Contact State With Soft Fingers,2025,IEEE RA-L,"Soft sensors, actuators, grasping, regression",ประมาณค่าแรงบีบของนิ้วหุ่นยนต์แบบนุ่ม (Soft Robotics),ใช้ Neural Network แบบ Regression (GRU/RNN) เพื่อทำนายแรงจากสัญญาณเซนเซอร์ที่ฝังในซิลิโคน,สามารถทำนายแรงบีบได้แม่นยำโดยไม่ต้องสร้างโมเดลทางคณิตศาสตร์ที่ซับซ้อน และตรวจจับสถานะการลื่น (Slip) ได้,
17,A High-Sensitivity Tactile Sensor Array Based on Fiber Bragg Grating Sensing for Tissue Palpation in Minimally Invasive Surgery,2018,IEEE/ASME TMech,"FBG, tissue palpation, tumor detection",วัดแรงสัมผัสความละเอียดสูงเพื่อหาตำแหน่งก้อนเนื้อ,ออกแบบโครงสร้าง Spiral Elastomer ทำงานร่วมกับ FBG แบบแขวน (Suspended) เพื่อเพิ่มความไวในการรับแรง,มีความละเอียด (Resolution) สูงถึง 0.93 mN และระบุตำแหน่งจุดที่เนื้อเยื่อแข็งผิดปกติได้อย่างแม่นยำ,
18,A Piezoelectric Tactile Sensor and Human-inspired Tactile Exploration Strategy for Lump Palpation,2019,IEEE ICARM,"Piezoelectric, lump palpation, MIS",ระบุขนาดและรูปทรงของก้อนเนื้อในการผ่าตัด,ใช้หัววัด Piezoelectric transducer และเปรียบเทียบกลยุทธ์การตรวจ (Scanning vs Edge Following),กลยุทธ์ Scanning ให้ผลดีในการระบุตำแหน่ง ส่วน Edge Following ให้ผลดีในการระบุรูปทรงขอบเขตก้อนเนื้อ,
19,Texture-based Intraoperative Image Guidance for Tumor Localization in Minimally Invasive Surgery,2021,IEEE EMBC,"Ultrasound, GLCM, k-means, HMM",นำทางแพทย์ในการหาตำแหน่งเนื้องอกในปอดที่แฟบลง,ใช้ K-means Clustering วิเคราะห์ลักษณะพื้นผิว (Texture) จากภาพอัลตราซาวด์ และใช้ HMM ในการกรองสัญญาณรบกวน,สร้างระบบนำทาง (Image Guidance) ที่ช่วยให้แพทย์ระบุตำแหน่งเนื้องอกในปอดได้รวดเร็วและแม่นยำขึ้น,
20,Miniaturized Optical Force Sensor for Minimally Invasive Surgery With Learning-Based Nonlinear Calibration,2020,IEEE Sensors Journal,"Force sensor, LIM, machine learning, SVR",พัฒนาเซนเซอร์วัดแรงขนาดจิ๋วสำหรับเครื่องมือผ่าตัด,ใช้หลักการ Variable-bending-radius และปรับเทียบ (Calibration) ด้วย Support Vector Regression (SVR),เซนเซอร์มีขนาดเล็กเพียง 1.8 มม. แต่ให้ความแม่นยำสูง (MAE 0.12 N) ทนต่อแรงกดซ้ำๆ ได้ดี,
21,Grasping-Force-Based Passive Safety Method for a Vascular Interventional Surgery Robot System,2023,IEEE TIM,"Passive safety, VIS robot, friction coupling",ระบบความปลอดภัยเชิงรับเพื่อป้องกันแรงเกินในการผ่าตัดหลอดเลือด,ใช้ Series Elastic Actuator (SEA) และสร้างโมเดลแรงเสียดทานแบบ Mechanical-molecular เพื่อปรับแรงบีบอัตโนมัติ,ลดความเสี่ยงในการทำหลอดเลือดเสียหายได้โดยไม่ต้องอาศัยการประมวลผลจากซอฟต์แวร์หลัก (ลด Delay),
22,Design and Application of Optical Fiber Sensors for Force Myography,2018,Laboratory of Photonic Materials,"force myography, optical fiber sensors, gesture recognition",ตรวจจับท่าทางมือเพื่อควบคุมกายอุปกรณ์ (Prosthetics),ใช้ใยนำแสงแบบ Microbending ตรวจจับการขยายตัวของกล้ามเนื้อแขน และจำแนกท่าทางด้วยอัลกอริทึม,มีความแม่นยำในการจำแนกท่าทางมือ 4 แบบ สูงถึง 99.7% เป็นทางเลือกใหม่แทนการใช้ไฟฟ้ากล้ามเนื้อ (EMG),
23,Wavelength-Phase Hybrid Coded Catheter Tip Three-Axis Force Optical Fiber Sensor,2024,IEEE/ASME TMech,"FBG, 3-axis force sensor, error compensation",วัดแรงที่ปลายสายสวนหัวใจในสภาพแวดล้อมที่รบกวนสูง,ใช้ระบบ Hybrid Coded (FBG + Fabry-Perot) เพื่อชดเชยค่าอุณหภูมิและความดันที่เปลี่ยนไปในร่างกาย,มีระบบ Fault-tolerant ที่ยังทำงานได้แม้ใยนำแสงบางส่วนจะชำรุด และวัดแรงได้แม่นยำในระดับ 1.3 mN,
24,Plastic Optical Fiber Sensor for Handgrip Force Monitoring During Physical Rehabilitation,2023,IEEE ENBENG,"handgrip force, physical rehabilitation, POF sensor",ติดตามการฟื้นฟูกำลังแขนของผู้ป่วยหลังผ่าตัดมะเร็งเต้านม,ใช้ Plastic Optical Fiber (POF) สร้างอุปกรณ์บีบมือราคาถูกและเชื่อมต่อกับแอปพลิเคชันเพื่อเก็บข้อมูล,สามารถวัดความก้าวหน้าในการบริหารมือได้อย่างเป็นรูปธรรม ช่วยให้แพทย์ประเมินการฟื้นฟูได้แม่นยำ,
25,Smart Cutting Tool Integrated With Optical Fiber Sensors for Cutting Force Measurement,2020,IEEE TIM,"Cutting force, optical fiber sensors, turning process",ตรวจวัดแรงตัดในงานกลึงอุตสาหกรรมแบบ Real-time,ฝังเซนเซอร์ FBG ลงในก้านมีดกลึง (Smart Tool) เพื่อวัดแรง 3 แกนโดยไม่รบกวนโครงสร้างเครื่องจักร,ทนทานต่อสัญญาณรบกวนแม่เหล็กไฟฟ้าและระบายความร้อนได้ดี วัดแรงตัดได้เสถียรกว่าเซนเซอร์ไฟฟ้าทั่วไป,
26,Haptic Feedback Based Laparoscope Movement Perception Method,2021,IEEE ICARM,"Robotic surgery, haptic feedback, instrument tracking",ช่วยแพทย์ควบคุมกล้องผ่าตัดผ่านความรู้สึกสัมผัสที่มือ,สร้างระบบ Virtual Fixtures เพื่อส่งแรงต้าน (Haptic Feedback) เมื่อเครื่องมือออกนอกขอบเขตการมองเห็น,แพทย์สามารถควบคุมตำแหน่งกล้องได้โดยไม่ต้องมองจอภาพตลอดเวลา ลดความเหนื่อยล้าในการผ่าตัดนานๆ,
27,Image-based Pose Estimation and Tracking of Surgical Instruments in Minimally Invasive Surgery,2019,National Chiao Tung University,"pose estimation, surgical instrument tracking, stereo vision",ติดตามตำแหน่งเครื่องมือผ่าตัดแบบ 3D ในระบบจำลอง,ใช้กล้องสเตอริโอร่วมกับ Color markers ที่ข้อต่อเครื่องมือ และใช้ Kalman Filter ในการทำนายตำแหน่ง,มีค่าความผิดพลาด (MAE) ต่ำกว่า 2.7 มม. เหมาะสำหรับใช้ในระบบฝึกหัดผ่าตัด (Surgery Training),
28,A Compact FBG-Based Triaxial Force Sensor With Parallel Helical Beams,2022,IEEE TIM,"FBG, force sensor, parallel helical beams",เพื่อออกแบบเซนเซอร์วัดแรง 3 แกนขนาดกะทัดรัดสำหรับหุ่นยนต์ผ่าตัด เพื่อใช้ในการคลำตรวจหาเนื้องอกและรักษาความปลอดภัย,ใช้โครงสร้างยืดหยุ่นแบบคานเกลียวคู่ (Parallel helical beams) เพื่อรักษาสมดุลความละเอียดของแรงในแนวแกนและแนวรัศมี พร้อมติดตั้งเส้นใยนำแสง FBG 4 เส้น,บรรลุความละเอียดการวัดแรงที่ 0.01 N ในแนวแกน และ 0.012 N ในแนวรัศมี สามารถแยกแยะความแข็งของวัสดุและระบุตำแหน่งของก้อนวัตถุแข็งในหุ่นจำลองได้,
29,Flexible Tactile-Sensing Gripper Design and Excessive Force Protection Function,2023,IEEE RA-L,"soft sensors, endovascular, excessive force protection",ระบบป้องกันแรงกดเกินสำหรับหุ่นยนต์ผ่าตัดสอดสายสวน,ออกแบบ Flexible Gripper (FTG) และใช้อัลกอริทึม Excessive Force Protection Function (EFPF),ระบบจะคลายแรงบีบโดยอัตโนมัติเมื่อแรงต้านที่ปลายสายสวนเกิน 0.4 N ช่วยป้องกันหลอดเลือดทะลุ,
30,Grasping Force Control of Robotic Gripper With High Stiffness,2022,IEEE/ASME TMech,"Force feedback, grasping, hysteresis, ADRC",ควบคุมแรงบีบของมือหุ่นยนต์ที่มีความแข็งเกร็งสูงให้แม่นยำ,ใช้อัลกอริทึม Active Disturbance Rejection Control (ADRC) ร่วมกับระบบชดเชยระยะฟรี (Backlash Compensation),ลดความผิดพลาดในการควบคุมแรง (Steady-state error) ได้ถึง 73% ทำให้การหยิบจับวัตถุเปราะบางปลอดภัยขึ้น,
